np_name,np_name_adj,domain
OCALA STAR BANNER,ocala star banner,
ORLANDO SENTINEL,orlando sentinel,orlandosentinel.com
PALATKA DAILY NEWS,palatka daily news,
THE NEWS HERALD,the news herald,
PENSACOLA NEWS JOURNAL,pensacola news journal,
CHARLOTTE SUN,charlotte sun,
SUN,sun,
ST. AUGUSTINE RECORD,st. augustine record,
ST. PETERSBURG TIMES,st. petersburg times,
TAMPA BAY TIMES,tampa bay times,tampabay.com
TAMPA BAY TIMES - TBT*,tampa bay times - tbt*,
SARASOTA HERALD TRIBUNE,sarasota herald tribune,heraldtribune.com
TALLAHASSEE DEMOCRAT,tallahassee democrat,
THE TAMPA TRIBUNE,the tampa tribune,
THE TAMPA TRIBUNE - CENTRO TAMPA,the tampa tribune - centro tampa,
THE TAMPA TRIBUNE AND TAMPA TIMES - BRANDON NEWS & TRIBUNE,the tampa tribune and tampa times - brandon news & tribune,
THE TAMPA TRIBUNE AND TAMPA TIMES,the tampa tribune and tampa times,
THE TAMPA TRIBUNE AND TAMPA TIMES - GO! PASCO,the tampa tribune and tampa times - go! pasco,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE SUN,the tampa tribune and tampa times - the sun,
THE TAMPA TRIBUNE AND TAMPA TIMES - CENTRO TAMPA,the tampa tribune and tampa times - centro tampa,
THE TAMPA TRIBUNE AND TAMPA TIMES - SOUTH TAMPA NEWS & TRIBUNE,the tampa tribune and tampa times - south tampa news & tribune,
THE TAMPA TRIBUNE AND TAMPA TIMES - NORTHEAST NEWS & TRIBUNE,the tampa tribune and tampa times - northeast news & tribune,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE SUNCOAST NEWS,the tampa tribune and tampa times - the suncoast news,
THE TAMPA TRIBUNE AND TAMPA TIMES - TRINITY WEEKLY,the tampa tribune and tampa times - trinity weekly,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE BRANDON NEWS,the tampa tribune and tampa times - the brandon news,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE CARROLLWOOD NEWS,the tampa tribune and tampa times - the carrollwood news,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE NORTHEAST NEWS,the tampa tribune and tampa times - the northeast news,
THE TAMPA TRIBUNE AND TAMPA TIMES - PLANT CITY COURIER,the tampa tribune and tampa times - plant city courier,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE SOUTH SHORE NEWS,the tampa tribune and tampa times - the south shore news,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE SOUTH TAMPA NEWS,the tampa tribune and tampa times - the south tampa news,
THE TAMPA TRIBUNE AND TAMPA TIMES - THE NORTHWEST NEWS,the tampa tribune and tampa times - the northwest news,
THE TAMPA TRIBUNE AND TAMPA TIMES - CLEARWATER GAZETTE,the tampa tribune and tampa times - clearwater gazette,
THE TAMPA TRIBUNE AND TAMPA TIMES - OUT & ABOUT,the tampa tribune and tampa times - out & about,
THE TREASURE COAST NEWS/PRESS-TRIBUNE,the treasure coast news/press-tribune,
THE TREASURE COAST NEWS/PRESS-TRIBUNE - ST. LUCIE NEWS TRIBUNE,the treasure coast news/press-tribune - st. lucie news tribune,
THE TREASURE COAST NEWS/PRESS-TRIBUNE - THE STUART NEWS,the treasure coast news/press-tribune - the stuart news,
THE TREASURE COAST NEWS/PRESS-TRIBUNE - THE INDIAN RIVER PRESS JOURNAL,the treasure coast news/press-tribune - the indian river press journal,
THE VILLAGES DAILY SUN,the villages daily sun,
THE PALM BEACH POST,the palm beach post,palmbeachpost.com
THE NEWS CHIEF,the news chief,
ALBANY HERALD,albany herald,
ATHENS BANNER-HERALD,athens banner-herald,
THE ATLANTA JOURNAL-CONSTITUTION,the atlanta journal-constitution,ajc.com
THE ATLANTA JOURNAL-CONSTITUTION - BUYERS EDGE SELECT,the atlanta journal-constitution - buyers edge select,ajc.com
THE ATLANTA JOURNAL-CONSTITUTION - EVENING EDGE,the atlanta journal-constitution - evening edge,ajc.com
THE ATLANTA JOURNAL-CONSTITUTION.,the atlanta journal-constitution.,ajc.com
THE ATLANTA CONSTITUTION,the atlanta constitution,
THE AUGUSTA CHRONICLE,the augusta chronicle,
TIMES-GEORGIAN,times-georgian,
LEDGER-ENQUIRER,ledger-enquirer,
CHEROKEE TRIBUNE,cherokee tribune,
THE DAILY TRIBUNE NEWS,the daily tribune news,
DUBLIN COURIER HERALD,dublin courier herald,
THE DAILY CITIZEN,the daily citizen,
THE DAILY CITIZEN NEWS,the daily citizen news,
DOUGLAS COUNTY SENTINEL,douglas county sentinel,
GAINESVILLE TIMES,gainesville times,
THE TIMES,the times,
GRIFFIN DAILY NEWS,griffin daily news,
THE MACON TELEGRAPH,the macon telegraph,
THE TELEGRAPH,the telegraph,
MARIETTA DAILY JOURNAL,marietta daily journal,
ROME NEWS-TRIBUNE,rome news-tribune,
SAVANNAH MORNING NEWS,savannah morning news,
THOMASVILLE TIMES-ENTERPRISE,thomasville times-enterprise,
VALDOSTA DAILY TIMES,valdosta daily times,
THE DAILY SUN (EVENING & SUNDAY),the daily sun (evening & sunday),
HAWAII TRIBUNE HERALD,hawaii tribune herald,
HONOLULU STAR-ADVERTISER,honolulu star-advertiser,staradvertiser.com
THE HONOLULU ADVERTISER (MORNING & SUND),the honolulu advertiser (morning & sund),staradvertiser.com
HONOLULU STAR-ADVERTISER - MIDWEEK,honolulu star-advertiser - midweek,staradvertiser.com
HONOLULU STAR-ADVERTISER - USAT - HAWAII EDITION,honolulu star-advertiser - usat - hawaii edition,staradvertiser.com
WEST HAWAII TODAY,west hawaii today,
THE LIHUE GARDEN ISLAND,the lihue garden island,
THE MAUI NEWS,the maui news,
IDAHO STATESMAN,idaho statesman,idahostatesman.com
THE IDAHO STATESMAN,the idaho statesman,idahostatesman.com
IDAHO FALLS POST REGISTER,idaho falls post register,
IDAHO PRESS-TRIBUNE,idaho press-tribune,
THE IDAHO STATE JOURNAL,the idaho state journal,
TWIN FALLS TIMES - NEWS,twin falls times - news,
DAILY HERALD,daily herald,dailyherald.com
BELLEVILLE NEWS-DEMOCRAT,belleville news-democrat,
BLOOMINGTON PANTAGRAPH,bloomington pantagraph,
BLOOMINGTON PANTAGRAPH - GIBSON CITY COURIER,bloomington pantagraph - gibson city courier,
BLOOMINGTON PANTAGRAPH - CENTRAL ILLINOIS ADVERTISER,bloomington pantagraph - central illinois advertiser,
BLOOMINGTON PANTAGRAPH - WOODFORD COUNTY JOURNAL-EUREKA,bloomington pantagraph - woodford county journal-eureka,
BLOOMINGTON PANTAGRAPH - WOODFORD COUNTY JOURNAL - EUREKA,bloomington pantagraph - woodford county journal - eureka,
BLOOMINGTON PANTAGRAPH - WOODFORD COUNTY JOURNAL - ROANOKE,bloomington pantagraph - woodford county journal - roanoke,
CHAMPAIGN NEWS GAZETTE,champaign news gazette,
CHAMPAIGN NEWS GAZETTE - PAXTON RECORD,champaign news gazette - paxton record,
CHAMPAIGN NEWS GAZETTE - LEROY FARMER CITY PRESS,champaign news gazette - leroy farmer city press,
CHAMPAIGN NEWS GAZETTE - PIATT COUNTY JOURNAL REPUBLICAN,champaign news gazette - piatt county journal republican,
CHARLESTON TIMES-COURIER,charleston times-courier,
"TIMES-NEWS, BURLINGTON","times-news, burlington",
CHICAGO DEFENDER,chicago defender,
HIGH POINT ENTERPRISE,high point enterprise,
LAGRANDE OBSERVER,lagrande observer,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES,chicago sun-times sunday sun-times,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - BARRINGTON COURIER-REVIEW,chicago sun-times sunday sun-times - barrington courier-review,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - DEERFIELD REVIEW,chicago sun-times sunday sun-times - deerfield review,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - GLENCOE NEWS,chicago sun-times sunday sun-times - glencoe news,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - GLENVIEW ANNOUNCEMENTS,chicago sun-times sunday sun-times - glenview announcements,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - HIGHLAND PARK NEWS,chicago sun-times sunday sun-times - highland park news,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - WILMETTE LIFE,chicago sun-times sunday sun-times - wilmette life,
CHICAGO SUN-TIMES SUNDAY SUN-TIMES - LAKE FORESTER,chicago sun-times sunday sun-times - lake forester,
